age;job;marital;education;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed
30;1.0;1.0;2.0;2.0;0.0;0;6;0;487;2;5.8625;0;1;-1.8;92.893;-46.2;1.313;5099.1
39;7.0;2.0;3.0;0.0;0.0;1;6;0;346;4;5.8625;0;1;1.1;93.994;-36.4;4.855;5191.0
25;7.0;1.0;3.0;2.0;0.0;1;4;4;227;1;5.8625;0;1;1.4;94.465;-41.8;4.962;5228.1
38;7.0;1.0;2.0;2.0;0.0;1;4;0;17;3;5.8625;0;1;1.4;94.465;-41.8;4.959;5228.1
47;0.0;1.0;6.0;2.0;0.0;0;7;1;58;1;5.8625;0;1;-0.1;93.2;-42.0;4.191;5195.8
45;0.0;2.0;6.0;0.0;0.0;0;1;2;505;1;5.8625;0;1;1.4;93.444;-36.1;4.964;5228.1
32;0.0;2.0;6.0;2.0;0.0;0;9;1;290;4;5.8625;0;1;-1.1;94.199;-37.5;0.879;4963.6
41;2.0;1.0;6.0;2.0;0.0;0;7;1;44;2;5.8625;0;1;-0.1;93.2;-42.0;4.191;5195.8
31;7.0;0.0;5.0;0.0;0.0;0;7;3;68;1;5.8625;1;0;-0.1;93.2;-42.0;4.153;5195.8
47;7.0;2.0;2.0;2.0;0.0;1;4;2;835;3;5.8625;0;1;1.4;94.465;-41.8;4.961;5228.1
